Hour Ending,SCENT
1/1/2021 1:00:00,7778.262533
1/1/2021 2:00:00,7693.744119
1/1/2021 3:00:00,7566.951524
1/1/2021 4:00:00,7506.685527
1/1/2021 5:00:00,7563.971854
1/1/2021 6:00:00,7716.803602
1/1/2021 7:00:00,7899.134781
1/1/2021 8:00:00,8021.636984
1/1/2021 9:00:00,7878.398455
1/1/2021 10:00:00,7614.075689
1/1/2021 11:00:00,7341.170941
1/1/2021 12:00:00,7030.816356
1/1/2021 13:00:00,6654.424096
1/1/2021 14:00:00,6328.485747
1/1/2021 15:00:00,6094.220976
1/1/2021 16:00:00,6006.420645
1/1/2021 17:00:00,6092.15227
1/1/2021 18:00:00,6530.55451
1/1/2021 19:00:00,7117.33296
1/1/2021 20:00:00,7236.112056
1/1/2021 21:00:00,7287.59984
1/1/2021 22:00:00,7284.436602
1/1/2021 23:00:00,7149.474073
1/2/2021 0:00:00,6953.104637
1/2/2021 1:00:00,6729.39562
1/2/2021 2:00:00,6570.610205
1/2/2021 3:00:00,6489.785933
1/2/2021 4:00:00,6500.301268
1/2/2021 5:00:00,6635.744822
1/2/2021 6:00:00,6923.636125
1/2/2021 7:00:00,7350.462717
1/2/2021 8:00:00,7756.368228
1/2/2021 9:00:00,7801.91645
1/2/2021 10:00:00,7480.155326
1/2/2021 11:00:00,7038.538641
1/2/2021 12:00:00,6599.278062
1/2/2021 13:00:00,6226.807449
1/2/2021 14:00:00,5914.866047
1/2/2021 15:00:00,5699.284138
1/2/2021 16:00:00,5596.983967
1/2/2021 17:00:00,5683.383808
1/2/2021 18:00:00,6026.589468
1/2/2021 19:00:00,6593.899838
1/2/2021 20:00:00,6739.528641
1/2/2021 21:00:00,6820.938804
1/2/2021 22:00:00,6829.237124
1/2/2021 23:00:00,6745.956175
1/3/2021 0:00:00,6600.592254
1/3/2021 1:00:00,6497.816084
1/3/2021 2:00:00,6435.46473
1/3/2021 3:00:00,6486.833052
1/3/2021 4:00:00,6577.667035
1/3/2021 5:00:00,6745.731534
1/3/2021 6:00:00,6981.0863
1/3/2021 7:00:00,7271.467637
1/3/2021 8:00:00,7543.008867
1/3/2021 9:00:00,7505.764482
1/3/2021 10:00:00,7106.74999
1/3/2021 11:00:00,6618.087859
1/3/2021 12:00:00,6254.615521
1/3/2021 13:00:00,5920.187517
1/3/2021 14:00:00,5688.640368
1/3/2021 15:00:00,5520.554173
1/3/2021 16:00:00,5499.925021
1/3/2021 17:00:00,5597.841886
1/3/2021 18:00:00,5899.027372
1/3/2021 19:00:00,6374.538807
1/3/2021 20:00:00,6434.206744
1/3/2021 21:00:00,6384.217596
1/3/2021 22:00:00,6244.83877
1/3/2021 23:00:00,5986.86496
1/4/2021 0:00:00,5722.845196
1/4/2021 1:00:00,5552.039014
1/4/2021 2:00:00,5508.648569
1/4/2021 3:00:00,5556.923176
1/4/2021 4:00:00,5694.439532
1/4/2021 5:00:00,5967.711263
1/4/2021 6:00:00,6479.61441
1/4/2021 7:00:00,7200.774241
1/4/2021 8:00:00,7630.924006
1/4/2021 9:00:00,7537.253157
1/4/2021 10:00:00,7059.372201
1/4/2021 11:00:00,6588.17526
1/4/2021 12:00:00,6240.394597
1/4/2021 13:00:00,6042.878747
1/4/2021 14:00:00,5939.34947
1/4/2021 15:00:00,5908.327014
1/4/2021 16:00:00,5936.95463
1/4/2021 17:00:00,5994.79411
1/4/2021 18:00:00,6194.017415
1/4/2021 19:00:00,6559.577196
1/4/2021 20:00:00,6475.4775
1/4/2021 21:00:00,6299.6749
1/4/2021 22:00:00,6055.254294
1/4/2021 23:00:00,5736.40657
1/5/2021 0:00:00,5378.691197
1/5/2021 1:00:00,5163.619944
1/5/2021 2:00:00,5079.552331
1/5/2021 3:00:00,5094.046246
1/5/2021 4:00:00,5190.672789
1/5/2021 5:00:00,5434.837987
1/5/2021 6:00:00,5894.706288
1/5/2021 7:00:00,6570.957635
1/5/2021 8:00:00,7023.744427
1/5/2021 9:00:00,7012.043704
1/5/2021 10:00:00,6802.285901
1/5/2021 11:00:00,6566.309631
1/5/2021 12:00:00,6330.427305
1/5/2021 13:00:00,6153.550476
1/5/2021 14:00:00,6001.176374
1/5/2021 15:00:00,5906.623064
1/5/2021 16:00:00,5894.667129
1/5/2021 17:00:00,5966.949419
1/5/2021 18:00:00,6248.675204
1/5/2021 19:00:00,6605.588268
1/5/2021 20:00:00,6520.502568
1/5/2021 21:00:00,6331.794495
1/5/2021 22:00:00,6032.862483
1/5/2021 23:00:00,5637.202323
1/6/2021 0:00:00,5222.443783
1/6/2021 1:00:00,4893.817655
1/6/2021 2:00:00,4696.23651
1/6/2021 3:00:00,4590.004735
1/6/2021 4:00:00,4561.183664
1/6/2021 5:00:00,4654.281955
1/6/2021 6:00:00,4930.453308
1/6/2021 7:00:00,5395.674487
1/6/2021 8:00:00,5726.880106
1/6/2021 9:00:00,5831.116129
1/6/2021 10:00:00,5951.202321
1/6/2021 11:00:00,6013.266647
1/6/2021 12:00:00,6043.251147
1/6/2021 13:00:00,6006.25185
1/6/2021 14:00:00,5920.596616
1/6/2021 15:00:00,5804.261184
1/6/2021 16:00:00,5766.94185
1/6/2021 17:00:00,5846.822088
1/6/2021 18:00:00,6067.123615
1/6/2021 19:00:00,6477.377416
1/6/2021 20:00:00,6458.06724
1/6/2021 21:00:00,6345.360337
1/6/2021 22:00:00,6170.402295
1/6/2021 23:00:00,5848.820609
1/7/2021 0:00:00,5555.300114
1/7/2021 1:00:00,5381.579144
1/7/2021 2:00:00,5308.237146
1/7/2021 3:00:00,5322.678475
1/7/2021 4:00:00,5430.67725
1/7/2021 5:00:00,5687.470338
1/7/2021 6:00:00,6204.974206
1/7/2021 7:00:00,6963.212921
1/7/2021 8:00:00,7474.196449
1/7/2021 9:00:00,7454.037682
1/7/2021 10:00:00,7163.555934
1/7/2021 11:00:00,6893.823462
1/7/2021 12:00:00,6608.61921
1/7/2021 13:00:00,6365.954585
1/7/2021 14:00:00,6123.52394
1/7/2021 15:00:00,5983.976198
1/7/2021 16:00:00,5941.029302
1/7/2021 17:00:00,6022.350235
1/7/2021 18:00:00,6316.674262
1/7/2021 19:00:00,6808.860713
1/7/2021 20:00:00,6917.804869
1/7/2021 21:00:00,6918.755468
1/7/2021 22:00:00,6833.409196
1/7/2021 23:00:00,6570.712003
1/8/2021 0:00:00,6329.420308
1/8/2021 1:00:00,6190.678436
1/8/2021 2:00:00,6174.215788
1/8/2021 3:00:00,6218.296715
1/8/2021 4:00:00,6364.971273
1/8/2021 5:00:00,6683.862841
1/8/2021 6:00:00,7206.102227
1/8/2021 7:00:00,7989.920063
1/8/2021 8:00:00,8482.387515
1/8/2021 9:00:00,8349.417161
1/8/2021 10:00:00,7918.674444
1/8/2021 11:00:00,7568.181774
1/8/2021 12:00:00,7253.443992
1/8/2021 13:00:00,6913.168821
1/8/2021 14:00:00,6585.798466
1/8/2021 15:00:00,6355.27248
1/8/2021 16:00:00,6253.041029
1/8/2021 17:00:00,6334.061807
1/8/2021 18:00:00,6738.568003
1/8/2021 19:00:00,7308.170478
1/8/2021 20:00:00,7432.667715
1/8/2021 21:00:00,7457.570303
1/8/2021 22:00:00,7372.25239
1/8/2021 23:00:00,7251.107384
1/9/2021 0:00:00,7085.999792
1/9/2021 1:00:00,7007.532709
1/9/2021 2:00:00,6993.724171
1/9/2021 3:00:00,7044.893152
1/9/2021 4:00:00,7154.990722
1/9/2021 5:00:00,7354.66631
1/9/2021 6:00:00,7635.129446
1/9/2021 7:00:00,8061.575434
1/9/2021 8:00:00,8474.319978
1/9/2021 9:00:00,8523.289406
1/9/2021 10:00:00,8092.731365
1/9/2021 11:00:00,7593.596207
1/9/2021 12:00:00,7215.565941
1/9/2021 13:00:00,6878.50513
1/9/2021 14:00:00,6603.536006
1/9/2021 15:00:00,6510.458471
1/9/2021 16:00:00,6525.577115
1/9/2021 17:00:00,6726.456324
1/9/2021 18:00:00,7111.536571
1/9/2021 19:00:00,7415.374109
1/9/2021 20:00:00,7389.360387
1/9/2021 21:00:00,7280.145234
1/9/2021 22:00:00,7112.0129
1/9/2021 23:00:00,6835.324059
1/10/2021 0:00:00,6519.925215
1/10/2021 1:00:00,6313.588508
1/10/2021 2:00:00,6232.321404
1/10/2021 3:00:00,6203.122784
1/10/2021 4:00:00,6250.77375
1/10/2021 5:00:00,6377.610614
1/10/2021 6:00:00,6582.532774
1/10/2021 7:00:00,6895.636407
1/10/2021 8:00:00,7305.269776
1/10/2021 9:00:00,7719.064603
1/10/2021 10:00:00,8228.512796
1/10/2021 11:00:00,8680.291403
1/10/2021 12:00:00,9058.326198
1/10/2021 13:00:00,9392.423358
1/10/2021 14:00:00,9434.419918
1/10/2021 15:00:00,9370.047957
1/10/2021 16:00:00,9331.714883
1/10/2021 17:00:00,9361.245295
1/10/2021 18:00:00,9613.997442
1/10/2021 19:00:00,9918.605343
1/10/2021 20:00:00,9831.728147
1/10/2021 21:00:00,9579.08673
1/10/2021 22:00:00,9246.67321
1/10/2021 23:00:00,8779.841955
1/11/2021 0:00:00,8383.237413
1/11/2021 1:00:00,8087.1633
1/11/2021 2:00:00,7926.168715
1/11/2021 3:00:00,7846.353451
1/11/2021 4:00:00,7902.178691
1/11/2021 5:00:00,8122.171262
1/11/2021 6:00:00,8584.393216
1/11/2021 7:00:00,9194.401984
1/11/2021 8:00:00,9606.872181
1/11/2021 9:00:00,9629.252161
1/11/2021 10:00:00,9271.527136
1/11/2021 11:00:00,8935.249982
1/11/2021 12:00:00,8696.933546
1/11/2021 13:00:00,8500.452964
1/11/2021 14:00:00,8226.136503
1/11/2021 15:00:00,7987.656121
1/11/2021 16:00:00,7888.092833
1/11/2021 17:00:00,7991.336183
1/11/2021 18:00:00,8333.298018
1/11/2021 19:00:00,8875.254167
1/11/2021 20:00:00,8944.594443
1/11/2021 21:00:00,8937.729799
1/11/2021 22:00:00,8809.078174
1/11/2021 23:00:00,8509.596895
1/12/2021 0:00:00,8293.027938
1/12/2021 1:00:00,8216.257276
1/12/2021 2:00:00,8247.253912
1/12/2021 3:00:00,8360.907021
1/12/2021 4:00:00,8541.469301
1/12/2021 5:00:00,8877.977578
1/12/2021 6:00:00,9429.17197
1/12/2021 7:00:00,10168.50112
1/12/2021 8:00:00,10566.681405
1/12/2021 9:00:00,10254.808846
1/12/2021 10:00:00,9492.378584
1/12/2021 11:00:00,8834.452294
1/12/2021 12:00:00,8251.844746
1/12/2021 13:00:00,7912.618986
1/12/2021 14:00:00,7507.50085
1/12/2021 15:00:00,7236.422245
1/12/2021 16:00:00,7260.00675
1/12/2021 17:00:00,7443.970588
1/12/2021 18:00:00,7873.623432
1/12/2021 19:00:00,8442.462998
1/12/2021 20:00:00,8567.145869
1/12/2021 21:00:00,8567.07493
1/12/2021 22:00:00,8419.939284
1/12/2021 23:00:00,8102.078519
1/13/2021 0:00:00,7853.458646
1/13/2021 1:00:00,7730.047826
1/13/2021 2:00:00,7744.087845
1/13/2021 3:00:00,7828.847373
1/13/2021 4:00:00,7999.756035
1/13/2021 5:00:00,8333.014206
1/13/2021 6:00:00,8881.245856
1/13/2021 7:00:00,9599.686221
1/13/2021 8:00:00,10023.774955
1/13/2021 9:00:00,9697.169846
1/13/2021 10:00:00,8867.925189
1/13/2021 11:00:00,8083.797089
1/13/2021 12:00:00,7457.885389
1/13/2021 13:00:00,6915.897911
1/13/2021 14:00:00,6496.41073
1/13/2021 15:00:00,6203.81766
1/13/2021 16:00:00,6068.121006
1/13/2021 17:00:00,6121.311658
1/13/2021 18:00:00,6468.948125
1/13/2021 19:00:00,7078.646853
1/13/2021 20:00:00,7221.564397
1/13/2021 21:00:00,7236.37918
1/13/2021 22:00:00,7076.298952
1/13/2021 23:00:00,6760.465867
1/14/2021 0:00:00,6512.120871
1/14/2021 1:00:00,6394.490152
1/14/2021 2:00:00,6406.844961
1/14/2021 3:00:00,6489.566769
1/14/2021 4:00:00,6641.970243
1/14/2021 5:00:00,6940.023977
1/14/2021 6:00:00,7470.972517
1/14/2021 7:00:00,8250.578282
1/14/2021 8:00:00,8683.440096
1/14/2021 9:00:00,8417.887253
1/14/2021 10:00:00,7766.126681
1/14/2021 11:00:00,7145.412632
1/14/2021 12:00:00,6611.398558
1/14/2021 13:00:00,6278.49092
1/14/2021 14:00:00,6058.725802
1/14/2021 15:00:00,5931.9076
1/14/2021 16:00:00,5916.240389
1/14/2021 17:00:00,5997.37886
1/14/2021 18:00:00,6257.397408
1/14/2021 19:00:00,6679.883299
1/14/2021 20:00:00,6756.988077
1/14/2021 21:00:00,6735.370425
1/14/2021 22:00:00,6653.024798
1/14/2021 23:00:00,6379.473391
1/15/2021 0:00:00,6161.371074
1/15/2021 1:00:00,5977.842266
1/15/2021 2:00:00,5939.009176
1/15/2021 3:00:00,5977.937982
1/15/2021 4:00:00,6118.535339
1/15/2021 5:00:00,6414.449475
1/15/2021 6:00:00,6930.393428
1/15/2021 7:00:00,7657.65124
1/15/2021 8:00:00,8093.77704
1/15/2021 9:00:00,7985.719076
1/15/2021 10:00:00,7666.974392
1/15/2021 11:00:00,7256.220482
1/15/2021 12:00:00,6858.488419
1/15/2021 13:00:00,6518.356784
1/15/2021 14:00:00,6273.304905
1/15/2021 15:00:00,6065.480626
1/15/2021 16:00:00,6025.165796
1/15/2021 17:00:00,6091.598235
1/15/2021 18:00:00,6393.8296
1/15/2021 19:00:00,6919.598799
1/15/2021 20:00:00,7060.316362
1/15/2021 21:00:00,7129.116881
1/15/2021 22:00:00,7110.634173
1/15/2021 23:00:00,6953.087744
1/16/2021 0:00:00,6770.768201
1/16/2021 1:00:00,6887.828626
1/16/2021 2:00:00,6800.148963
1/16/2021 3:00:00,6823.231102
1/16/2021 4:00:00,6895.251939
1/16/2021 5:00:00,7061.607751
1/16/2021 6:00:00,7373.487352
1/16/2021 7:00:00,7802.700876
1/16/2021 8:00:00,8201.598127
1/16/2021 9:00:00,8285.170739
1/16/2021 10:00:00,7830.353248
1/16/2021 11:00:00,7230.226908
1/16/2021 12:00:00,6685.502449
1/16/2021 13:00:00,6239.307241
1/16/2021 14:00:00,5900.457336
1/16/2021 15:00:00,5687.20642
1/16/2021 16:00:00,5610.481095
1/16/2021 17:00:00,5676.866575
1/16/2021 18:00:00,5941.602325
1/16/2021 19:00:00,6452.308576
1/16/2021 20:00:00,6590.62584
1/16/2021 21:00:00,6635.296627
1/16/2021 22:00:00,6650.38461
1/16/2021 23:00:00,6570.251496
1/17/2021 0:00:00,6394.347693
1/17/2021 1:00:00,6167.063242
1/17/2021 2:00:00,6067.474029
1/17/2021 3:00:00,6007.011459
1/17/2021 4:00:00,6048.001602
1/17/2021 5:00:00,6226.448897
1/17/2021 6:00:00,6505.050901
1/17/2021 7:00:00,6906.024909
1/17/2021 8:00:00,7310.040045
1/17/2021 9:00:00,7385.401937
1/17/2021 10:00:00,7003.340587
1/17/2021 11:00:00,6512.550815
1/17/2021 12:00:00,6074.388327
1/17/2021 13:00:00,5799.693834
1/17/2021 14:00:00,5591.53474
1/17/2021 15:00:00,5463.756008
1/17/2021 16:00:00,5428.019514
1/17/2021 17:00:00,5534.753239
1/17/2021 18:00:00,5778.969172
1/17/2021 19:00:00,6238.598191
1/17/2021 20:00:00,6303.411297
1/17/2021 21:00:00,6209.173526
1/17/2021 22:00:00,6130.359021
1/17/2021 23:00:00,5969.622995
1/18/2021 0:00:00,5789.10166
1/18/2021 1:00:00,5707.423766
1/18/2021 2:00:00,5711.415475
1/18/2021 3:00:00,5796.946315
1/18/2021 4:00:00,5958.596993
1/18/2021 5:00:00,6216.882209
1/18/2021 6:00:00,6626.810681
1/18/2021 7:00:00,7021.517371
1/18/2021 8:00:00,7257.714685
1/18/2021 9:00:00,7256.281836
1/18/2021 10:00:00,7133.087096
1/18/2021 11:00:00,6888.544003
1/18/2021 12:00:00,6604.854292
1/18/2021 13:00:00,6318.192575
1/18/2021 14:00:00,5999.357242
1/18/2021 15:00:00,5848.090676
1/18/2021 16:00:00,5851.874729
1/18/2021 17:00:00,5947.042343
1/18/2021 18:00:00,6136.918285
1/18/2021 19:00:00,6482.978908
1/18/2021 20:00:00,6494.912655
1/18/2021 21:00:00,6292.677737
1/18/2021 22:00:00,5965.906326
1/18/2021 23:00:00,5519.672439
1/19/2021 0:00:00,5138.86695
1/19/2021 1:00:00,4773.673884
1/19/2021 2:00:00,4605.772286
1/19/2021 3:00:00,4515.529523
1/19/2021 4:00:00,4478.781284
1/19/2021 5:00:00,4577.08222
1/19/2021 6:00:00,4852.35629
1/19/2021 7:00:00,5370.256745
1/19/2021 8:00:00,5749.223236
1/19/2021 9:00:00,5857.508291
1/19/2021 10:00:00,5989.204094
1/19/2021 11:00:00,6050.15183
1/19/2021 12:00:00,6158.917714
1/19/2021 13:00:00,6211.722474
1/19/2021 14:00:00,6205.452524
1/19/2021 15:00:00,6192.732386
1/19/2021 16:00:00,6205.512318
1/19/2021 17:00:00,6319.866099
1/19/2021 18:00:00,6589.5117
1/19/2021 19:00:00,6803.605236
1/19/2021 20:00:00,6735.291717
1/19/2021 21:00:00,6607.072641
1/19/2021 22:00:00,6384.069228
1/19/2021 23:00:00,6028.673978
1/20/2021 0:00:00,5707.734753
1/20/2021 1:00:00,5486.680383
1/20/2021 2:00:00,5388.042142
1/20/2021 3:00:00,5348.190876
1/20/2021 4:00:00,5399.298155
1/20/2021 5:00:00,5590.707624
1/20/2021 6:00:00,5993.489797
1/20/2021 7:00:00,6618.797997
1/20/2021 8:00:00,7074.320022
1/20/2021 9:00:00,7272.303712
1/20/2021 10:00:00,7343.171698
1/20/2021 11:00:00,7352.558717
1/20/2021 12:00:00,7333.855568
1/20/2021 13:00:00,7229.106937
1/20/2021 14:00:00,7023.446164
1/20/2021 15:00:00,6864.77065
1/20/2021 16:00:00,6817.575188
1/20/2021 17:00:00,6917.206607
1/20/2021 18:00:00,7176.973577
1/20/2021 19:00:00,7427.566208
1/20/2021 20:00:00,7356.49091
1/20/2021 21:00:00,7120.305897
1/20/2021 22:00:00,6806.515796
1/20/2021 23:00:00,6352.409442
1/21/2021 0:00:00,5891.668287
1/21/2021 1:00:00,5598.151341
1/21/2021 2:00:00,5418.43341
1/21/2021 3:00:00,5339.321825
1/21/2021 4:00:00,5326.616854
1/21/2021 5:00:00,5456.961257
1/21/2021 6:00:00,5824.286704
1/21/2021 7:00:00,6412.196761
1/21/2021 8:00:00,6716.20247
1/21/2021 9:00:00,6732.79028
1/21/2021 10:00:00,6577.449185
1/21/2021 11:00:00,6399.358892
1/21/2021 12:00:00,6355.33275
1/21/2021 13:00:00,6257.022528
1/21/2021 14:00:00,6167.878612
1/21/2021 15:00:00,6099.06501
1/21/2021 16:00:00,6069.532436
1/21/2021 17:00:00,6099.831704
1/21/2021 18:00:00,6263.090682
1/21/2021 19:00:00,6529.913041
